dataset,seed,comparison,order_id,metric,shot_count,cluster_mean_difference,cluster_median_difference,difference_2shot,difference_4shot,difference_8shot
mrpc,1,alternating_minus_evaluated_unique_permutation_mean,alternating,accuracy,3,-0.0035599415204678278,-0.010000000000000009,-0.010000000000000009,-0.015416666666666634,0.01473684210526316
mrpc,1,alternating_minus_evaluated_unique_permutation_mean,alternating,macro_f1,3,-0.0029358554219409325,-0.0100816614578082,-0.0100816614578082,-0.014900076447140531,0.016174171639125934
mrpc,1,label_grouped_minus_evaluated_unique_permutation_mean,label_grouped,accuracy,3,-0.018559941520467842,-0.010263157894736863,-0.010000000000000009,-0.03541666666666665,-0.010263157894736863
mrpc,1,label_grouped_minus_evaluated_unique_permutation_mean,label_grouped,macro_f1,3,-0.021296903982205406,-0.016480833558829122,-0.0100816614578082,-0.0373282169299789,-0.016480833558829122
mrpc,1,seeded_base_minus_evaluated_unique_permutation_mean,seeded_base,accuracy,3,0.011440058479532186,0.010000000000000009,0.010000000000000009,0.014583333333333393,0.009736842105263155
mrpc,1,seeded_base_minus_evaluated_unique_permutation_mean,seeded_base,macro_f1,3,0.01178941852213844,0.012159451418010225,0.01008166145780831,0.013127142690596783,0.012159451418010225
mrpc,2,alternating_minus_evaluated_unique_permutation_mean,alternating,accuracy,3,0.002927631578947376,0.0006578947368420796,-0.0024999999999999467,0.010624999999999996,0.0006578947368420796
mrpc,2,alternating_minus_evaluated_unique_permutation_mean,alternating,macro_f1,3,0.0026476359988806633,0.0012059992330112346,-0.004037936919437657,0.010774845683068413,0.0012059992330112346
mrpc,2,label_grouped_minus_evaluated_unique_permutation_mean,label_grouped,accuracy,3,0.001260964912280708,-0.0024999999999999467,-0.0024999999999999467,0.020625000000000004,-0.014342105263157934
mrpc,2,label_grouped_minus_evaluated_unique_permutation_mean,label_grouped,macro_f1,3,0.0010627702022666756,-0.004037936919437657,-0.004037936919437657,0.02098736226850817,-0.013761114742270486
mrpc,2,seeded_base_minus_evaluated_unique_permutation_mean,seeded_base,accuracy,3,0.002927631578947376,0.0006249999999999867,-0.0024999999999999467,0.0006249999999999867,0.010657894736842088
mrpc,2,seeded_base_minus_evaluated_unique_permutation_mean,seeded_base,macro_f1,3,0.002393315647185923,0.0004877095735639214,-0.004037936919437657,0.0004877095735639214,0.010730174287431504
mrpc,3,alternating_minus_evaluated_unique_permutation_mean,alternating,accuracy,3,0.007277046783625729,0.006041666666666723,0.022499999999999964,0.006041666666666723,-0.0067105263157895
mrpc,3,alternating_minus_evaluated_unique_permutation_mean,alternating,macro_f1,3,0.007988569738480314,0.006737335485446638,0.027084485306611228,0.006737335485446638,-0.009856111576616922
mrpc,3,label_grouped_minus_evaluated_unique_permutation_mean,label_grouped,accuracy,3,0.0039437134502923925,-0.0017105263157894957,0.022499999999999964,-0.00895833333333329,-0.0017105263157894957
mrpc,3,label_grouped_minus_evaluated_unique_permutation_mean,label_grouped,macro_f1,3,0.006206350217399015,0.00018229216868581588,0.027084485306611228,-0.0086477268231,0.00018229216868581588
mrpc,3,seeded_base_minus_evaluated_unique_permutation_mean,seeded_base,accuracy,3,-0.02105628654970763,-0.022500000000000075,-0.022500000000000075,-0.03895833333333332,-0.0017105263157894957
mrpc,3,seeded_base_minus_evaluated_unique_permutation_mean,seeded_base,macro_f1,3,-0.02421350007267727,-0.027084485306611228,-0.027084485306611228,-0.04445529275114779,-0.0011007221602727935
mrpc,4,alternating_minus_evaluated_unique_permutation_mean,alternating,accuracy,3,-0.014970760233918115,-0.01749999999999996,-0.01749999999999996,-0.02083333333333337,-0.006578947368421018
mrpc,4,alternating_minus_evaluated_unique_permutation_mean,alternating,macro_f1,3,-0.014923273335295676,-0.01758456206349912,-0.01758456206349912,-0.02063265987015528,-0.006552598072232629
mrpc,4,label_grouped_minus_evaluated_unique_permutation_mean,label_grouped,accuracy,3,-0.016637426900584784,-0.01749999999999996,-0.01749999999999996,-0.010833333333333361,-0.02157894736842103
mrpc,4,label_grouped_minus_evaluated_unique_permutation_mean,label_grouped,macro_f1,3,-0.017621877112446633,-0.01758456206349912,-0.01758456206349912,-0.011041070045829549,-0.024239999228011233
mrpc,4,seeded_base_minus_evaluated_unique_permutation_mean,seeded_base,accuracy,3,-0.008304093567251444,-0.005833333333333357,-0.01749999999999996,-0.005833333333333357,-0.0015789473684210131
mrpc,4,seeded_base_minus_evaluated_unique_permutation_mean,seeded_base,macro_f1,3,-0.008314577101770046,-0.005702199101855543,-0.01758456206349912,-0.005702199101855543,-0.0016569701399554715
mrpc,5,alternating_minus_evaluated_unique_permutation_mean,alternating,accuracy,3,0.012054093567251475,0.019078947368421084,-0.0050000000000000044,0.022083333333333344,0.019078947368421084
mrpc,5,alternating_minus_evaluated_unique_permutation_mean,alternating,macro_f1,3,0.012998673667337016,0.01951981296995975,-0.004351625997691677,0.023827834029742978,0.01951981296995975
