dataset,total_shots,seed,comparison,order_id,metric,deterministic_value,evaluated_unique_permutation_mean,difference,evaluated_unique_permutation_count
mrpc,2,1,seeded_base_minus_evaluated_unique_permutation_mean,seeded_base,accuracy,0.73,0.72,0.010000000000000009,2
mrpc,2,1,seeded_base_minus_evaluated_unique_permutation_mean,seeded_base,macro_f1,0.7277951406391774,0.7177134791813691,0.01008166145780831,2
mrpc,2,1,label_grouped_minus_evaluated_unique_permutation_mean,label_grouped,accuracy,0.71,0.72,-0.010000000000000009,2
mrpc,2,1,label_grouped_minus_evaluated_unique_permutation_mean,label_grouped,macro_f1,0.7076318177235609,0.7177134791813691,-0.0100816614578082,2
mrpc,2,1,alternating_minus_evaluated_unique_permutation_mean,alternating,accuracy,0.71,0.72,-0.010000000000000009,2
mrpc,2,1,alternating_minus_evaluated_unique_permutation_mean,alternating,macro_f1,0.7076318177235609,0.7177134791813691,-0.0100816614578082,2
mrpc,2,2,seeded_base_minus_evaluated_unique_permutation_mean,seeded_base,accuracy,0.7,0.7024999999999999,-0.0024999999999999467,2
mrpc,2,2,seeded_base_minus_evaluated_unique_permutation_mean,seeded_base,macro_f1,0.6963255390221683,0.700363475941606,-0.004037936919437657,2
mrpc,2,2,label_grouped_minus_evaluated_unique_permutation_mean,label_grouped,accuracy,0.7,0.7024999999999999,-0.0024999999999999467,2
mrpc,2,2,label_grouped_minus_evaluated_unique_permutation_mean,label_grouped,macro_f1,0.6963255390221683,0.700363475941606,-0.004037936919437657,2
mrpc,2,2,alternating_minus_evaluated_unique_permutation_mean,alternating,accuracy,0.7,0.7024999999999999,-0.0024999999999999467,2
mrpc,2,2,alternating_minus_evaluated_unique_permutation_mean,alternating,macro_f1,0.6963255390221683,0.700363475941606,-0.004037936919437657,2
mrpc,2,3,seeded_base_minus_evaluated_unique_permutation_mean,seeded_base,accuracy,0.725,0.7475,-0.022500000000000075,2
mrpc,2,3,seeded_base_minus_evaluated_unique_permutation_mean,seeded_base,macro_f1,0.7152545882840207,0.7423390735906319,-0.027084485306611228,2
mrpc,2,3,label_grouped_minus_evaluated_unique_permutation_mean,label_grouped,accuracy,0.77,0.7475,0.022499999999999964,2
mrpc,2,3,label_grouped_minus_evaluated_unique_permutation_mean,label_grouped,macro_f1,0.7694235588972431,0.7423390735906319,0.027084485306611228,2
mrpc,2,3,alternating_minus_evaluated_unique_permutation_mean,alternating,accuracy,0.77,0.7475,0.022499999999999964,2
mrpc,2,3,alternating_minus_evaluated_unique_permutation_mean,alternating,macro_f1,0.7694235588972431,0.7423390735906319,0.027084485306611228,2
mrpc,2,4,seeded_base_minus_evaluated_unique_permutation_mean,seeded_base,accuracy,0.735,0.7525,-0.01749999999999996,2
mrpc,2,4,seeded_base_minus_evaluated_unique_permutation_mean,seeded_base,macro_f1,0.7344622861294121,0.7520468481929112,-0.01758456206349912,2
mrpc,2,4,label_grouped_minus_evaluated_unique_permutation_mean,label_grouped,accuracy,0.735,0.7525,-0.01749999999999996,2
mrpc,2,4,label_grouped_minus_evaluated_unique_permutation_mean,label_grouped,macro_f1,0.7344622861294121,0.7520468481929112,-0.01758456206349912,2
mrpc,2,4,alternating_minus_evaluated_unique_permutation_mean,alternating,accuracy,0.735,0.7525,-0.01749999999999996,2
mrpc,2,4,alternating_minus_evaluated_unique_permutation_mean,alternating,macro_f1,0.7344622861294121,0.7520468481929112,-0.01758456206349912,2
mrpc,2,5,seeded_base_minus_evaluated_unique_permutation_mean,seeded_base,accuracy,0.74,0.735,0.0050000000000000044,2
mrpc,2,5,seeded_base_minus_evaluated_unique_permutation_mean,seeded_base,macro_f1,0.7373737373737373,0.7330221113760456,0.004351625997691788,2
mrpc,2,5,label_grouped_minus_evaluated_unique_permutation_mean,label_grouped,accuracy,0.73,0.735,-0.0050000000000000044,2
