dataset,model_id,total_shots,seed,order_family,order_id,n_eval,accuracy,macro_f1,mean_prompt_tokens,total_latency_seconds
sst2,Qwen/Qwen3-4B,2,1,canonical,canonical,200,0.945,0.9449876222149983,102.285,8.049842695021653
sst2,Qwen/Qwen3-4B,2,1,label_grouped,label_grouped,200,0.955,0.9549988749718743,102.285,7.855651784935617
sst2,Qwen/Qwen3-4B,2,1,alternating,alternating,200,0.955,0.9549988749718743,102.285,8.116152232003515
sst2,Qwen/Qwen3-4B,2,1,random,random_0,200,0.945,0.9449876222149983,102.285,8.299307409892208
sst2,Qwen/Qwen3-4B,2,1,random,random_1,200,0.945,0.9449876222149983,102.285,8.116962590996991
sst2,Qwen/Qwen3-4B,2,1,random,random_2,200,0.955,0.9549988749718743,102.285,7.941178248933284
sst2,Qwen/Qwen3-4B,2,1,random,random_3,200,0.955,0.9549988749718743,102.285,8.120516413953737
sst2,Qwen/Qwen3-4B,2,1,random,random_4,200,0.955,0.9549988749718743,102.285,8.107940532063367
sst2,Qwen/Qwen3-4B,4,1,canonical,canonical,200,0.96,0.9599959995999598,147.285,8.068315672164317
sst2,Qwen/Qwen3-4B,4,1,label_grouped,label_grouped,200,0.94,0.93999399939994,147.285,8.014352278929437
sst2,Qwen/Qwen3-4B,4,1,alternating,alternating,200,0.95,0.9499949994999499,147.285,8.016040704940679
sst2,Qwen/Qwen3-4B,4,1,random,random_0,200,0.93,0.9299719887955181,147.285,8.157923288992606
sst2,Qwen/Qwen3-4B,4,1,random,random_1,200,0.925,0.924953095684803,147.285,7.934510138889891
sst2,Qwen/Qwen3-4B,4,1,random,random_2,200,0.935,0.9349853717086344,147.285,7.954538054895238
sst2,Qwen/Qwen3-4B,4,1,random,random_3,200,0.905,0.9048072346501665,147.285,7.9914698718930595
sst2,Qwen/Qwen3-4B,4,1,random,random_4,200,0.95,0.9499949994999499,147.285,8.031253484048648
sst2,Qwen/Qwen3-4B,8,1,canonical,canonical,200,0.94,0.94,236.285,7.967345481039956
sst2,Qwen/Qwen3-4B,8,1,label_grouped,label_grouped,200,0.91,0.9096748293857888,236.285,8.135813739922014
sst2,Qwen/Qwen3-4B,8,1,alternating,alternating,200,0.93,0.9299369432489241,236.285,8.15773484998499
sst2,Qwen/Qwen3-4B,8,1,random,random_0,200,0.93,0.9299369432489241,236.285,8.191260071922443
sst2,Qwen/Qwen3-4B,8,1,random,random_1,200,0.93,0.9298878205128205,236.285,7.945208798992098
sst2,Qwen/Qwen3-4B,8,1,random,random_2,200,0.935,0.934959349593496,236.285,7.920310118075577
sst2,Qwen/Qwen3-4B,8,1,random,random_3,200,0.93,0.9298878205128205,236.285,8.253538468998158
sst2,Qwen/Qwen3-4B,8,1,random,random_4,200,0.92,0.9199279351416275,236.285,8.421827598038362
sst2,Qwen/Qwen3-4B,2,2,canonical,canonical,200,0.92,0.919967987194878,85.14,7.945592595016933
sst2,Qwen/Qwen3-4B,2,2,label_grouped,label_grouped,200,0.92,0.919967987194878,85.14,7.836956351995468
sst2,Qwen/Qwen3-4B,2,2,alternating,alternating,200,0.92,0.919967987194878,85.14,7.908003777905833
sst2,Qwen/Qwen3-4B,2,2,random,random_0,200,0.935,0.934998374959374,85.14,7.919996231954428
sst2,Qwen/Qwen3-4B,2,2,random,random_1,200,0.935,0.934998374959374,85.14,7.924657885057968
sst2,Qwen/Qwen3-4B,2,2,random,random_2,200,0.92,0.919967987194878,85.14,7.9663909239461645
sst2,Qwen/Qwen3-4B,2,2,random,random_3,200,0.935,0.934998374959374,85.14,7.755239208025159
sst2,Qwen/Qwen3-4B,2,2,random,random_4,200,0.92,0.919967987194878,85.14,7.815881970105693
sst2,Qwen/Qwen3-4B,4,2,canonical,canonical,200,0.93,0.9299929992999301,135.14,7.897146247851197
sst2,Qwen/Qwen3-4B,4,2,label_grouped,label_grouped,200,0.92,0.9199279351416275,135.14,7.75837127804698
sst2,Qwen/Qwen3-4B,4,2,alternating,alternating,200,0.915,0.9149978749468737,135.14,7.845344374145498
sst2,Qwen/Qwen3-4B,4,2,random,random_0,200,0.93,0.9299929992999301,135.14,7.866268080018926
sst2,Qwen/Qwen3-4B,4,2,random,random_1,200,0.92,0.9199279351416275,135.14,7.746849253977416
sst2,Qwen/Qwen3-4B,4,2,random,random_2,200,0.92,0.919967987194878,135.14,7.740977446082979
sst2,Qwen/Qwen3-4B,4,2,random,random_3,200,0.925,0.924953095684803,135.14,7.829640785057563
sst2,Qwen/Qwen3-4B,4,2,random,random_4,200,0.935,0.9349853717086344,135.14,7.991680928113055
sst2,Qwen/Qwen3-4B,8,2,canonical,canonical,200,0.925,0.924953095684803,175.14,8.488888135034358
sst2,Qwen/Qwen3-4B,8,2,label_grouped,label_grouped,200,0.95,0.9500000000000001,175.14,10.246107301107259
sst2,Qwen/Qwen3-4B,8,2,alternating,alternating,200,0.945,0.9449876222149983,175.14,9.819968437033822
sst2,Qwen/Qwen3-4B,8,2,random,random_0,200,0.945,0.9449986249656241,175.14,9.724566867866088
sst2,Qwen/Qwen3-4B,8,2,random,random_1,200,0.93,0.9299369432489241,175.14,8.02424194701598
sst2,Qwen/Qwen3-4B,8,2,random,random_2,200,0.93,0.9299369432489241,175.14,7.816003925923724
sst2,Qwen/Qwen3-4B,8,2,random,random_3,200,0.925,0.924908012315086,175.14,7.815659070998663
sst2,Qwen/Qwen3-4B,8,2,random,random_4,200,0.945,0.9449876222149983,175.14,7.793562476843363
sst2,Qwen/Qwen3-4B,2,3,canonical,canonical,200,0.92,0.9199919991999201,85.515,7.645242144164513
sst2,Qwen/Qwen3-4B,2,3,label_grouped,label_grouped,200,0.92,0.92,85.515,7.726561104107532
sst2,Qwen/Qwen3-4B,2,3,alternating,alternating,200,0.92,0.92,85.515,7.710300783044659
sst2,Qwen/Qwen3-4B,2,3,random,random_0,200,0.92,0.92,85.515,7.716877083978034
