dataset,total_shots,seed,random_order_count,accuracy_random_range,accuracy_random_stdev,macro_f1_random_range,macro_f1_random_stdev
mrpc,2,1,5,0.0,0.0,0.0,0.0
mrpc,2,2,5,0.03125,0.01711632992203644,0.03984352687095449,0.021823198437785005
mrpc,2,3,5,0.015625,0.00855816496101822,0.02051282051282044,0.011235334512926446
mrpc,2,4,5,0.015625,0.006987712429686843,0.014954266208300204,0.006687751159077457
mrpc,2,5,5,0.0,0.0,0.0010462684703977931,0.0004679054845048384
mrpc,4,1,5,0.03125,0.01307281291459493,0.033008242882966554,0.013781638075034255
mrpc,4,2,5,0.03125,0.01307281291459493,0.0315270935960591,0.013168126529397924
mrpc,4,3,5,0.015625,0.00855816496101822,0.01648388168826853,0.008346342991072099
mrpc,4,4,5,0.03125,0.013975424859373685,0.031441906165561306,0.013927995935389455
mrpc,4,5,5,0.0625,0.023696485762661097,0.05702577577577572,0.021652828366292724
mrpc,8,1,5,0.03125,0.013975424859373685,0.03546990643764836,0.015841625437182438
mrpc,8,2,5,0.046875,0.017815241017174032,0.04693223443223449,0.01782663873416075
mrpc,8,3,5,0.03125,0.011048543456039806,0.04017445067041159,0.014448826077772097
mrpc,8,4,5,0.0625,0.02614562582918986,0.06372549019607843,0.026658474026113117
mrpc,8,5,5,0.046875,0.017815241017174032,0.04659554015892353,0.017798707113422275
rte,2,1,5,0.015625,0.006987712429686843,0.014618018684739886,0.0065373766950880905
rte,2,2,5,0.015625,0.00855816496101822,0.015981807452611574,0.008753596451499535
rte,2,3,5,0.015625,0.006987712429686843,0.014023459643308867,0.0062714818084327155
rte,2,4,5,0.015625,0.00855816496101822,0.0156059218559218,0.008547715431151256
rte,2,5,5,0.046875,0.02096313728906053,0.046677359226667825,0.020874749648201255
rte,4,1,5,0.0,0.0,0.0007727228822563825,0.0004232377533122292
rte,4,2,5,0.03125,0.013975424859373685,0.030641818511727426,0.013596033708704982
rte,4,3,5,0.015625,0.006987712429686843,0.017454435567643145,0.007308470924278859
rte,4,4,5,0.015625,0.00855816496101822,0.0156059218559218,0.008547715431151256
rte,4,5,5,0.015625,0.006987712429686843,0.0160355407149404,0.007171311818914462
rte,8,1,5,0.015625,0.00855816496101822,0.016520173673620686,0.009048471774945038
rte,8,2,5,0.015625,0.006987712429686843,0.017241580985132732,0.0072114188590868605
rte,8,3,5,0.03125,0.015625,0.03265389958335896,0.016327004919582697
rte,8,4,5,0.03125,0.013975424859373685,0.03137218963831867,0.014030069726859018
rte,8,5,5,0.03125,0.011048543456039806,0.032454361054766734,0.01148066076774531
sst2,2,1,5,0.015625,0.00855816496101822,0.0156059218559218,0.008547715431151256
sst2,2,2,5,0.015625,0.00855816496101822,0.0156440781440782,0.008568614490885184
sst2,2,3,5,0.015625,0.00855816496101822,0.015613553113553058,0.00855189524309803
sst2,2,4,5,0.0,0.0,0.0,0.0
sst2,2,5,5,0.03125,0.013975424859373685,0.03276273401480301,0.014651940077168826
sst2,4,1,5,0.03125,0.011048543456039806,0.03125763125763126,0.011051270024742857
sst2,4,2,5,0.015625,0.006987712429686843,0.015797039393197987,0.007013658773976395
sst2,4,3,5,0.03125,0.01307281291459493,0.03131109481915928,0.01310065763859214
sst2,4,4,5,0.046875,0.017815241017174032,0.04764693551628685,0.018102588842801238
sst2,4,5,5,0.03125,0.013975424859373685,0.03190259343538637,0.014159179902099452
sst2,8,1,5,0.03125,0.013975424859373685,0.03118890518084072,0.01394938561256827
sst2,8,2,5,0.0625,0.03202172114362375,0.06316022469301763,0.03235117857526819
sst2,8,3,5,0.046875,0.019136638615493577,0.04704703939319799,0.019206900812356292
sst2,8,4,5,0.015625,0.006987712429686843,0.015874340927954256,0.007099221082582562
sst2,8,5,5,0.046875,0.017815241017174032,0.04781133499103851,0.018223741859738653
