dataset,total_shots,seed,random_order_rows,unique_random_permutations,duplicate_random_order_rows
mrpc,2,1,5,1,4
mrpc,2,2,5,2,3
mrpc,2,3,5,2,3
mrpc,2,4,5,2,3
mrpc,2,5,5,2,3
mrpc,4,1,5,5,0
mrpc,4,2,5,4,1
mrpc,4,3,5,5,0
mrpc,4,4,5,4,1
mrpc,4,5,5,5,0
mrpc,8,1,5,5,0
mrpc,8,2,5,5,0
mrpc,8,3,5,5,0
mrpc,8,4,5,5,0
mrpc,8,5,5,5,0
rte,2,1,5,2,3
rte,2,2,5,2,3
rte,2,3,5,2,3
rte,2,4,5,2,3
rte,2,5,5,2,3
rte,4,1,5,4,1
rte,4,2,5,5,0
rte,4,3,5,4,1
rte,4,4,5,5,0
rte,4,5,5,4,1
rte,8,1,5,5,0
rte,8,2,5,5,0
rte,8,3,5,5,0
rte,8,4,5,5,0
rte,8,5,5,5,0
sst2,2,1,5,2,3
sst2,2,2,5,2,3
sst2,2,3,5,2,3
sst2,2,4,5,2,3
sst2,2,5,5,2,3
sst2,4,1,5,5,0
sst2,4,2,5,5,0
sst2,4,3,5,5,0
sst2,4,4,5,5,0
sst2,4,5,5,5,0
sst2,8,1,5,5,0
sst2,8,2,5,5,0
sst2,8,3,5,5,0
sst2,8,4,5,5,0
sst2,8,5,5,5,0
