dataset,model_id,total_shots,seed,order_family,order_id,n_eval,accuracy,macro_f1,mean_prompt_tokens,total_latency_seconds
sst2,Qwen/Qwen3-4B,4,1,exhaustive,perm_00,200,0.96,0.9599959995999598,147.285,6.287633988133166
sst2,Qwen/Qwen3-4B,4,1,exhaustive,perm_01,200,0.93,0.9299719887955181,147.285,6.313676158053568
sst2,Qwen/Qwen3-4B,4,1,exhaustive,perm_02,200,0.955,0.9549988749718743,147.285,6.316805883107008
sst2,Qwen/Qwen3-4B,4,1,exhaustive,perm_03,200,0.95,0.9500000000000001,147.285,6.290200158866355
sst2,Qwen/Qwen3-4B,4,1,exhaustive,perm_04,200,0.93,0.9299719887955181,147.285,6.47570984394406
sst2,Qwen/Qwen3-4B,4,1,exhaustive,perm_05,200,0.935,0.9349853717086344,147.285,6.301032549934462
sst2,Qwen/Qwen3-4B,4,1,exhaustive,perm_06,200,0.955,0.9549898727213622,147.285,6.283973625104409
sst2,Qwen/Qwen3-4B,4,1,exhaustive,perm_07,200,0.95,0.9499949994999499,147.285,6.538116032112157
sst2,Qwen/Qwen3-4B,4,1,exhaustive,perm_08,200,0.945,0.9449656035021889,147.285,6.268591158033814
sst2,Qwen/Qwen3-4B,4,1,exhaustive,perm_09,200,0.935,0.934998374959374,147.285,6.290801385825034
sst2,Qwen/Qwen3-4B,4,1,exhaustive,perm_10,200,0.94,0.93999399939994,147.285,6.291175832680892
sst2,Qwen/Qwen3-4B,4,1,exhaustive,perm_11,200,0.92,0.9199279351416275,147.285,6.262179721321445
sst2,Qwen/Qwen3-4B,4,1,exhaustive,perm_12,200,0.94,0.93999399939994,147.285,6.309102749801241
sst2,Qwen/Qwen3-4B,4,1,exhaustive,perm_13,200,0.935,0.934959349593496,147.285,6.379766607278725
sst2,Qwen/Qwen3-4B,4,1,exhaustive,perm_14,200,0.95,0.9499949994999499,147.285,6.3533741779392585
sst2,Qwen/Qwen3-4B,4,1,exhaustive,perm_15,200,0.905,0.9048072346501665,147.285,6.35254126903601
sst2,Qwen/Qwen3-4B,4,1,exhaustive,perm_16,200,0.94,0.93999399939994,147.285,6.3871331640693825
sst2,Qwen/Qwen3-4B,4,1,exhaustive,perm_17,200,0.905,0.9048834822657756,147.285,6.3470893221965525
sst2,Qwen/Qwen3-4B,4,1,exhaustive,perm_18,200,0.945,0.9449986249656241,147.285,6.344360756978858
sst2,Qwen/Qwen3-4B,4,1,exhaustive,perm_19,200,0.945,0.9449986249656241,147.285,6.375870196876349
sst2,Qwen/Qwen3-4B,4,1,exhaustive,perm_20,200,0.935,0.9349853717086344,147.285,6.3585677848313935
sst2,Qwen/Qwen3-4B,4,1,exhaustive,perm_21,200,0.925,0.924953095684803,147.285,6.3047852109593805
sst2,Qwen/Qwen3-4B,4,1,exhaustive,perm_22,200,0.935,0.9349853717086344,147.285,6.3001695928687695
sst2,Qwen/Qwen3-4B,4,1,exhaustive,perm_23,200,0.93,0.93,147.285,6.313211830158252
sst2,Qwen/Qwen3-4B,4,2,exhaustive,perm_00,200,0.93,0.9299929992999301,135.14,6.420492555829696
sst2,Qwen/Qwen3-4B,4,2,exhaustive,perm_01,200,0.93,0.9299929992999301,135.14,6.31493424315704
sst2,Qwen/Qwen3-4B,4,2,exhaustive,perm_02,200,0.925,0.9249981249531238,135.14,6.341931901086355
sst2,Qwen/Qwen3-4B,4,2,exhaustive,perm_03,200,0.925,0.924953095684803,135.14,6.335601957747713
sst2,Qwen/Qwen3-4B,4,2,exhaustive,perm_04,200,0.935,0.934959349593496,135.14,6.384469662880292
sst2,Qwen/Qwen3-4B,4,2,exhaustive,perm_05,200,0.93,0.9299369432489241,135.14,6.338871775922598
sst2,Qwen/Qwen3-4B,4,2,exhaustive,perm_06,200,0.93,0.9299929992999301,135.14,6.321542896243045
sst2,Qwen/Qwen3-4B,4,2,exhaustive,perm_07,200,0.93,0.9299929992999301,135.14,6.407802018860821
sst2,Qwen/Qwen3-4B,4,2,exhaustive,perm_08,200,0.93,0.9299929992999301,135.14,6.387414033903042
sst2,Qwen/Qwen3-4B,4,2,exhaustive,perm_09,200,0.92,0.919967987194878,135.14,6.385432258801302
sst2,Qwen/Qwen3-4B,4,2,exhaustive,perm_10,200,0.925,0.9249831212022706,135.14,6.446956471918384
sst2,Qwen/Qwen3-4B,4,2,exhaustive,perm_11,200,0.92,0.919967987194878,135.14,6.347446751984535
sst2,Qwen/Qwen3-4B,4,2,exhaustive,perm_12,200,0.935,0.9349853717086344,135.14,6.355798757838784
sst2,Qwen/Qwen3-4B,4,2,exhaustive,perm_13,200,0.935,0.9349853717086344,135.14,6.38300264699501
sst2,Qwen/Qwen3-4B,4,2,exhaustive,perm_14,200,0.935,0.9349853717086344,135.14,6.369416207191534
sst2,Qwen/Qwen3-4B,4,2,exhaustive,perm_15,200,0.915,0.9149978749468737,135.14,6.348093682085164
sst2,Qwen/Qwen3-4B,4,2,exhaustive,perm_16,200,0.92,0.9199279351416275,135.14,6.318830901029287
sst2,Qwen/Qwen3-4B,4,2,exhaustive,perm_17,200,0.92,0.9199279351416275,135.14,6.336768599867355
sst2,Qwen/Qwen3-4B,4,2,exhaustive,perm_18,200,0.925,0.9249981249531238,135.14,6.344473107892554
sst2,Qwen/Qwen3-4B,4,2,exhaustive,perm_19,200,0.915,0.9149468417761102,135.14,6.333849926944822
sst2,Qwen/Qwen3-4B,4,2,exhaustive,perm_20,200,0.93,0.9299719887955181,135.14,6.340376490785275
sst2,Qwen/Qwen3-4B,4,2,exhaustive,perm_21,200,0.92,0.919967987194878,135.14,6.323595546855358
sst2,Qwen/Qwen3-4B,4,2,exhaustive,perm_22,200,0.92,0.9199279351416275,135.14,6.3297476790321525
sst2,Qwen/Qwen3-4B,4,2,exhaustive,perm_23,200,0.925,0.924908012315086,135.14,6.352464786963537
sst2,Qwen/Qwen3-4B,4,3,exhaustive,perm_00,200,0.95,0.9499949994999499,147.515,6.399112133658491
sst2,Qwen/Qwen3-4B,4,3,exhaustive,perm_01,200,0.955,0.9549718574108819,147.515,6.417379638267448
sst2,Qwen/Qwen3-4B,4,3,exhaustive,perm_02,200,0.95,0.9499949994999499,147.515,6.432053907163208
sst2,Qwen/Qwen3-4B,4,3,exhaustive,perm_03,200,0.955,0.9549988749718743,147.515,6.3796296752407216
sst2,Qwen/Qwen3-4B,4,3,exhaustive,perm_04,200,0.95,0.9499949994999499,147.515,6.3813565871387254
sst2,Qwen/Qwen3-4B,4,3,exhaustive,perm_05,200,0.95,0.9500000000000001,147.515,6.38074139598757
sst2,Qwen/Qwen3-4B,4,3,exhaustive,perm_06,200,0.925,0.924908012315086,147.515,6.410313824948389
sst2,Qwen/Qwen3-4B,4,3,exhaustive,perm_07,200,0.94,0.93999399939994,147.515,6.44267501696595
sst2,Qwen/Qwen3-4B,4,3,exhaustive,perm_08,200,0.925,0.924908012315086,147.515,6.431837336072931
sst2,Qwen/Qwen3-4B,4,3,exhaustive,perm_09,200,0.935,0.9349853717086344,147.515,6.398923921078676
sst2,Qwen/Qwen3-4B,4,3,exhaustive,perm_10,200,0.935,0.934998374959374,147.515,6.423772577865748
sst2,Qwen/Qwen3-4B,4,3,exhaustive,perm_11,200,0.925,0.9249981249531238,147.515,6.447715698071988
sst2,Qwen/Qwen3-4B,4,3,exhaustive,perm_12,200,0.95,0.9499949994999499,147.515,6.418703447910957
sst2,Qwen/Qwen3-4B,4,3,exhaustive,perm_13,200,0.955,0.9549988749718743,147.515,6.415542080998421
sst2,Qwen/Qwen3-4B,4,3,exhaustive,perm_14,200,0.945,0.9449876222149983,147.515,6.381066629866837
sst2,Qwen/Qwen3-4B,4,3,exhaustive,perm_15,200,0.955,0.9549718574108819,147.515,6.399133563099895
sst2,Qwen/Qwen3-4B,4,3,exhaustive,perm_16,200,0.95,0.9500000000000001,147.515,6.3841834487975575
sst2,Qwen/Qwen3-4B,4,3,exhaustive,perm_17,200,0.95,0.949954959463517,147.515,6.38006253624917
sst2,Qwen/Qwen3-4B,4,3,exhaustive,perm_18,200,0.92,0.9198717948717948,147.515,6.408317641995382
sst2,Qwen/Qwen3-4B,4,3,exhaustive,perm_19,200,0.95,0.9499949994999499,147.515,6.420463583053788
sst2,Qwen/Qwen3-4B,4,3,exhaustive,perm_20,200,0.945,0.9449986249656241,147.515,6.397265042964136
sst2,Qwen/Qwen3-4B,4,3,exhaustive,perm_21,200,0.945,0.9449986249656241,147.515,6.404151589900721
sst2,Qwen/Qwen3-4B,4,3,exhaustive,perm_22,200,0.945,0.9449876222149983,147.515,6.389217989199096
sst2,Qwen/Qwen3-4B,4,3,exhaustive,perm_23,200,0.94,0.9399759903961584,147.515,6.40163275404484
sst2,Qwen/Qwen3-4B,4,4,exhaustive,perm_00,200,0.935,0.9349202773397411,143.605,6.422020803933265
sst2,Qwen/Qwen3-4B,4,4,exhaustive,perm_01,200,0.935,0.9349202773397411,143.605,6.377115561946994
sst2,Qwen/Qwen3-4B,4,4,exhaustive,perm_02,200,0.945,0.9449876222149983,143.605,6.385291065031197
sst2,Qwen/Qwen3-4B,4,4,exhaustive,perm_03,200,0.945,0.9449876222149983,143.605,6.353619243745925
sst2,Qwen/Qwen3-4B,4,4,exhaustive,perm_04,200,0.935,0.9349202773397411,143.605,6.384608687309083
sst2,Qwen/Qwen3-4B,4,4,exhaustive,perm_05,200,0.935,0.934959349593496,143.605,6.418319121235982
sst2,Qwen/Qwen3-4B,4,4,exhaustive,perm_06,200,0.945,0.9449876222149983,143.605,6.349745254701702
sst2,Qwen/Qwen3-4B,4,4,exhaustive,perm_07,200,0.93,0.9298878205128205,143.605,6.350185036892071
sst2,Qwen/Qwen3-4B,4,4,exhaustive,perm_08,200,0.95,0.9499799919967986,143.605,6.3348144098126795
sst2,Qwen/Qwen3-4B,4,4,exhaustive,perm_09,200,0.935,0.9349202773397411,143.605,6.355779832781991
sst2,Qwen/Qwen3-4B,4,4,exhaustive,perm_10,200,0.94,0.9399459513562205,143.605,6.39138118820847
sst2,Qwen/Qwen3-4B,4,4,exhaustive,perm_11,200,0.93,0.9298878205128205,143.605,6.354600612772629
sst2,Qwen/Qwen3-4B,4,4,exhaustive,perm_12,200,0.94,0.9399759903961584,143.605,6.339673175214557
sst2,Qwen/Qwen3-4B,4,4,exhaustive,perm_13,200,0.945,0.9449876222149983,143.605,6.32631037622923
sst2,Qwen/Qwen3-4B,4,4,exhaustive,perm_14,200,0.935,0.934959349593496,143.605,6.352276163321221
sst2,Qwen/Qwen3-4B,4,4,exhaustive,perm_15,200,0.94,0.9399459513562205,143.605,6.361944855249021
sst2,Qwen/Qwen3-4B,4,4,exhaustive,perm_16,200,0.935,0.9349853717086344,143.605,6.390000748069724
sst2,Qwen/Qwen3-4B,4,4,exhaustive,perm_17,200,0.945,0.9449876222149983,143.605,6.3599937908002175
sst2,Qwen/Qwen3-4B,4,4,exhaustive,perm_18,200,0.935,0.9349202773397411,143.605,6.316378014918882
sst2,Qwen/Qwen3-4B,4,4,exhaustive,perm_19,200,0.945,0.9449656035021889,143.605,6.393387616961263
sst2,Qwen/Qwen3-4B,4,4,exhaustive,perm_20,200,0.94,0.9399759903961584,143.605,6.449380437115906
sst2,Qwen/Qwen3-4B,4,4,exhaustive,perm_21,200,0.93,0.9298878205128205,143.605,6.440406141657149
sst2,Qwen/Qwen3-4B,4,4,exhaustive,perm_22,200,0.94,0.9399459513562205,143.605,6.50623873891891
sst2,Qwen/Qwen3-4B,4,4,exhaustive,perm_23,200,0.94,0.9399459513562205,143.605,6.426966484839795
sst2,Qwen/Qwen3-4B,4,5,exhaustive,perm_00,200,0.955,0.9549086900974473,138.875,6.421104830165859
sst2,Qwen/Qwen3-4B,4,5,exhaustive,perm_01,200,0.945,0.9448331201885704,138.875,6.406591074861353
sst2,Qwen/Qwen3-4B,4,5,exhaustive,perm_02,200,0.955,0.9549448073890516,138.875,6.434800504124723
sst2,Qwen/Qwen3-4B,4,5,exhaustive,perm_03,200,0.965,0.9649570724137068,138.875,6.401372859167168
sst2,Qwen/Qwen3-4B,4,5,exhaustive,perm_04,200,0.945,0.9448331201885704,138.875,6.389407380862394
sst2,Qwen/Qwen3-4B,4,5,exhaustive,perm_05,200,0.945,0.9448331201885704,138.875,6.383461125049507
sst2,Qwen/Qwen3-4B,4,5,exhaustive,perm_06,200,0.965,0.9649921232277263,138.875,6.39282572796219
sst2,Qwen/Qwen3-4B,4,5,exhaustive,perm_07,200,0.965,0.9649570724137068,138.875,6.3964463147567585
sst2,Qwen/Qwen3-4B,4,5,exhaustive,perm_08,200,0.975,0.9749943737340901,138.875,6.418124833988259
sst2,Qwen/Qwen3-4B,4,5,exhaustive,perm_09,200,0.965,0.9649781113195747,138.875,6.4336161098617595
sst2,Qwen/Qwen3-4B,4,5,exhaustive,perm_10,200,0.965,0.9649781113195747,138.875,6.419264373049373
sst2,Qwen/Qwen3-4B,4,5,exhaustive,perm_11,200,0.965,0.9649781113195747,138.875,6.437230254086899
sst2,Qwen/Qwen3-4B,4,5,exhaustive,perm_12,200,0.955,0.9549448073890516,138.875,6.523620152263902
sst2,Qwen/Qwen3-4B,4,5,exhaustive,perm_13,200,0.955,0.9549448073890516,138.875,6.45882555222488
sst2,Qwen/Qwen3-4B,4,5,exhaustive,perm_14,200,0.945,0.9448883990079913,138.875,6.464888663147576
sst2,Qwen/Qwen3-4B,4,5,exhaustive,perm_15,200,0.935,0.9348027784046742,138.875,6.431253054150147
sst2,Qwen/Qwen3-4B,4,5,exhaustive,perm_16,200,0.95,0.949874686716792,138.875,6.450366199045675
sst2,Qwen/Qwen3-4B,4,5,exhaustive,perm_17,200,0.935,0.9347242097863473,138.875,6.4652202170400415
sst2,Qwen/Qwen3-4B,4,5,exhaustive,perm_18,200,0.96,0.9599358974358974,138.875,6.408147295936942
sst2,Qwen/Qwen3-4B,4,5,exhaustive,perm_19,200,0.955,0.9549448073890516,138.875,6.481384160026209
sst2,Qwen/Qwen3-4B,4,5,exhaustive,perm_20,200,0.96,0.9599639675708138,138.875,6.3448025038524065
sst2,Qwen/Qwen3-4B,4,5,exhaustive,perm_21,200,0.965,0.9649570724137068,138.875,6.402283770905342
sst2,Qwen/Qwen3-4B,4,5,exhaustive,perm_22,200,0.955,0.9549448073890516,138.875,6.3848161199712195
sst2,Qwen/Qwen3-4B,4,5,exhaustive,perm_23,200,0.96,0.9599358974358974,138.875,6.403613234841032
rte,Qwen/Qwen3-4B,4,1,exhaustive,perm_00,200,0.855,0.8549963749093727,342.56,6.797731255966937
rte,Qwen/Qwen3-4B,4,1,exhaustive,perm_01,200,0.86,0.8599439775910365,342.56,6.75798747697263
rte,Qwen/Qwen3-4B,4,1,exhaustive,perm_02,200,0.87,0.8698828946051447,342.56,6.757565762876766
rte,Qwen/Qwen3-4B,4,1,exhaustive,perm_03,200,0.865,0.8649155722326454,342.56,6.752233531238744
rte,Qwen/Qwen3-4B,4,1,exhaustive,perm_04,200,0.855,0.8548221571424995,342.56,6.783346094278386
rte,Qwen/Qwen3-4B,4,1,exhaustive,perm_05,200,0.85,0.84998499849985,342.56,6.78134849932394
rte,Qwen/Qwen3-4B,4,1,exhaustive,perm_06,200,0.85,0.84998499849985,342.56,6.764691679185489
rte,Qwen/Qwen3-4B,4,1,exhaustive,perm_07,200,0.855,0.8548221571424995,342.56,6.752385580912232
rte,Qwen/Qwen3-4B,4,1,exhaustive,perm_08,200,0.855,0.8549963749093727,342.56,6.7230755939672235
rte,Qwen/Qwen3-4B,4,1,exhaustive,perm_09,200,0.84,0.8398558702832549,342.56,6.755181368556805
rte,Qwen/Qwen3-4B,4,1,exhaustive,perm_10,200,0.86,0.8599859985998599,342.56,6.744341738172807
rte,Qwen/Qwen3-4B,4,1,exhaustive,perm_11,200,0.85,0.8499399759903962,342.56,6.7466299267543945
rte,Qwen/Qwen3-4B,4,1,exhaustive,perm_12,200,0.86,0.8599439775910365,342.56,6.755744552006945
rte,Qwen/Qwen3-4B,4,1,exhaustive,perm_13,200,0.85,0.8499399759903962,342.56,6.739350276038749
rte,Qwen/Qwen3-4B,4,1,exhaustive,perm_14,200,0.855,0.8549963749093727,342.56,6.7493742851074785
rte,Qwen/Qwen3-4B,4,1,exhaustive,perm_15,200,0.85,0.8499399759903962,342.56,6.747762318060268
rte,Qwen/Qwen3-4B,4,1,exhaustive,perm_16,200,0.85,0.8499399759903962,342.56,6.8337597860372625
rte,Qwen/Qwen3-4B,4,1,exhaustive,perm_17,200,0.845,0.8449030644152595,342.56,6.776633619883796
rte,Qwen/Qwen3-4B,4,1,exhaustive,perm_18,200,0.855,0.8548221571424995,342.56,6.790140639030142
rte,Qwen/Qwen3-4B,4,1,exhaustive,perm_19,200,0.84,0.8399359743897559,342.56,6.797922175755957
rte,Qwen/Qwen3-4B,4,1,exhaustive,perm_20,200,0.865,0.8649696181640869,342.56,8.596443175978493
rte,Qwen/Qwen3-4B,4,1,exhaustive,perm_21,200,0.855,0.854967367657723,342.56,8.874471706338227
rte,Qwen/Qwen3-4B,4,1,exhaustive,perm_22,200,0.85,0.84998499849985,342.56,8.527747512038331
