dataset,model_id,total_shots,seed,order_family,order_id,n_eval,accuracy,macro_f1,mean_prompt_tokens,total_latency_seconds
sst2,Qwen/Qwen3-4B,8,1,exhaustive,perm_08,200,0.935,0.9349202773397411,236.285,6.291516738652717
sst2,Qwen/Qwen3-4B,8,1,exhaustive,perm_09,200,0.94,0.94,236.285,6.2519310030620545
sst2,Qwen/Qwen3-4B,8,1,exhaustive,perm_10,200,0.925,0.924847816829079,236.285,6.261623153928667
sst2,Qwen/Qwen3-4B,8,1,exhaustive,perm_11,200,0.95,0.9499949994999499,236.285,6.229957169853151
sst2,Qwen/Qwen3-4B,8,1,exhaustive,perm_12,200,0.93,0.9299719887955181,236.285,6.302194400050212
sst2,Qwen/Qwen3-4B,8,1,exhaustive,perm_13,200,0.92,0.9199279351416275,236.285,6.264045853167772
sst2,Qwen/Qwen3-4B,8,1,exhaustive,perm_14,200,0.93,0.9299719887955181,236.285,6.244467425800394
sst2,Qwen/Qwen3-4B,8,1,exhaustive,perm_15,200,0.93,0.9298878205128205,236.285,6.230703801062191
sst2,Qwen/Qwen3-4B,8,1,exhaustive,perm_16,200,0.925,0.924908012315086,236.285,6.236298624193296
sst2,Qwen/Qwen3-4B,8,1,exhaustive,perm_17,200,0.935,0.9349853717086344,236.285,6.282904975028941
sst2,Qwen/Qwen3-4B,8,1,exhaustive,perm_18,200,0.93,0.9298878205128205,236.285,6.3587592720869
sst2,Qwen/Qwen3-4B,8,1,exhaustive,perm_19,200,0.915,0.9146393512590696,236.285,6.3834408351103775
sst2,Qwen/Qwen3-4B,8,1,exhaustive,perm_20,200,0.95,0.9500000000000001,236.285,6.373262225068174
sst2,Qwen/Qwen3-4B,8,1,exhaustive,perm_21,200,0.93,0.9298245614035088,236.285,6.372714763885597
sst2,Qwen/Qwen3-4B,8,1,exhaustive,perm_22,200,0.945,0.9449986249656241,236.285,6.400071909767576
sst2,Qwen/Qwen3-4B,8,1,exhaustive,perm_23,200,0.945,0.9449986249656241,236.285,6.379376215278171
sst2,Qwen/Qwen3-4B,8,1,exhaustive,perm_24,200,0.935,0.9349853717086344,236.285,6.378002715966431
sst2,Qwen/Qwen3-4B,8,1,exhaustive,perm_25,200,0.93,0.9299369432489241,236.285,6.391246084909653
sst2,Qwen/Qwen3-4B,8,1,exhaustive,perm_26,200,0.925,0.924908012315086,236.285,6.38498711361899
sst2,Qwen/Qwen3-4B,8,1,exhaustive,perm_27,200,0.925,0.924908012315086,236.285,6.405643514852272
sst2,Qwen/Qwen3-4B,8,1,exhaustive,perm_28,200,0.925,0.924908012315086,236.285,6.408393187826732
sst2,Qwen/Qwen3-4B,8,1,exhaustive,perm_29,200,0.93,0.9299719887955181,236.285,6.414272898691706
sst2,Qwen/Qwen3-4B,8,1,exhaustive,perm_30,200,0.935,0.9349853717086344,236.285,6.404043291171547
sst2,Qwen/Qwen3-4B,8,1,exhaustive,perm_31,200,0.92,0.9198717948717948,236.285,6.393044901837129
sst2,Qwen/Qwen3-4B,8,1,exhaustive,perm_32,200,0.93,0.9298245614035088,236.285,6.399530558031984
sst2,Qwen/Qwen3-4B,8,1,exhaustive,perm_33,200,0.925,0.924847816829079,236.285,6.415369271970121
sst2,Qwen/Qwen3-4B,8,1,exhaustive,perm_34,200,0.93,0.9299369432489241,236.285,6.444075915002031
sst2,Qwen/Qwen3-4B,8,1,exhaustive,perm_35,200,0.93,0.9299369432489241,236.285,6.380614380876068
sst2,Qwen/Qwen3-4B,8,1,exhaustive,perm_36,200,0.945,0.9449876222149983,236.285,6.404293253959622
sst2,Qwen/Qwen3-4B,8,1,exhaustive,perm_37,200,0.925,0.924908012315086,236.285,6.407781962072477
sst2,Qwen/Qwen3-4B,8,2,exhaustive,perm_08,200,0.925,0.924953095684803,175.14,6.363074789085658
sst2,Qwen/Qwen3-4B,8,2,exhaustive,perm_09,200,0.93,0.9299719887955181,175.14,6.321749063296011
sst2,Qwen/Qwen3-4B,8,2,exhaustive,perm_10,200,0.93,0.9299369432489241,175.14,6.308273623959394
sst2,Qwen/Qwen3-4B,8,2,exhaustive,perm_11,200,0.935,0.934959349593496,175.14,6.334077340026852
sst2,Qwen/Qwen3-4B,8,2,exhaustive,perm_12,200,0.95,0.9499949994999499,175.14,6.390641687059542
sst2,Qwen/Qwen3-4B,8,2,exhaustive,perm_13,200,0.945,0.9449986249656241,175.14,6.388142227748176
sst2,Qwen/Qwen3-4B,8,2,exhaustive,perm_14,200,0.93,0.9299369432489241,175.14,6.437305190920597
sst2,Qwen/Qwen3-4B,8,2,exhaustive,perm_15,200,0.945,0.9449986249656241,175.14,6.425789349887054
sst2,Qwen/Qwen3-4B,8,2,exhaustive,perm_16,200,0.94,0.94,175.14,6.3978311080427375
sst2,Qwen/Qwen3-4B,8,2,exhaustive,perm_17,200,0.94,0.9399759903961584,175.14,6.436900931905257
sst2,Qwen/Qwen3-4B,8,2,exhaustive,perm_18,200,0.93,0.9299369432489241,175.14,6.4831897688272875
sst2,Qwen/Qwen3-4B,8,2,exhaustive,perm_19,200,0.95,0.9499949994999499,175.14,6.45394080792903
sst2,Qwen/Qwen3-4B,8,2,exhaustive,perm_20,200,0.93,0.9298878205128205,175.14,6.432612408068962
sst2,Qwen/Qwen3-4B,8,2,exhaustive,perm_21,200,0.94,0.9399759903961584,175.14,6.4342131680459715
sst2,Qwen/Qwen3-4B,8,2,exhaustive,perm_22,200,0.935,0.9349853717086344,175.14,6.424446451332187
sst2,Qwen/Qwen3-4B,8,2,exhaustive,perm_23,200,0.945,0.9449986249656241,175.14,6.407245671987766
sst2,Qwen/Qwen3-4B,8,2,exhaustive,perm_24,200,0.93,0.9299369432489241,175.14,6.4792243041156325
sst2,Qwen/Qwen3-4B,8,2,exhaustive,perm_25,200,0.945,0.9449986249656241,175.14,6.425997012993321
sst2,Qwen/Qwen3-4B,8,2,exhaustive,perm_26,200,0.95,0.9499949994999499,175.14,6.391349265963072
sst2,Qwen/Qwen3-4B,8,2,exhaustive,perm_27,200,0.94,0.93999399939994,175.14,6.425136210338678
sst2,Qwen/Qwen3-4B,8,2,exhaustive,perm_28,200,0.945,0.9449876222149983,175.14,6.386842811887618
sst2,Qwen/Qwen3-4B,8,2,exhaustive,perm_29,200,0.955,0.9549988749718743,175.14,6.425695984304184
sst2,Qwen/Qwen3-4B,8,2,exhaustive,perm_30,200,0.93,0.9299719887955181,175.14,6.365973189647775
sst2,Qwen/Qwen3-4B,8,2,exhaustive,perm_31,200,0.94,0.93999399939994,175.14,6.444710607058369
sst2,Qwen/Qwen3-4B,8,2,exhaustive,perm_32,200,0.93,0.9299719887955181,175.14,6.881743038044078
sst2,Qwen/Qwen3-4B,8,2,exhaustive,perm_33,200,0.94,0.94,175.14,7.567732401977992
sst2,Qwen/Qwen3-4B,8,2,exhaustive,perm_34,200,0.94,0.93999399939994,175.14,7.251457471982576
sst2,Qwen/Qwen3-4B,8,2,exhaustive,perm_35,200,0.93,0.9299369432489241,175.14,7.188576707238099
sst2,Qwen/Qwen3-4B,8,2,exhaustive,perm_36,200,0.94,0.9399759903961584,175.14,6.438310491270386
sst2,Qwen/Qwen3-4B,8,2,exhaustive,perm_37,200,0.935,0.934959349593496,175.14,6.415722089994233
sst2,Qwen/Qwen3-4B,8,3,exhaustive,perm_08,200,0.945,0.9449876222149983,146.515,6.406502935802564
sst2,Qwen/Qwen3-4B,8,3,exhaustive,perm_09,200,0.945,0.9449986249656241,146.515,6.426446698169457
sst2,Qwen/Qwen3-4B,8,3,exhaustive,perm_10,200,0.95,0.9499949994999499,146.515,6.4509048567852005
sst2,Qwen/Qwen3-4B,8,3,exhaustive,perm_11,200,0.945,0.9449656035021889,146.515,6.4554737728904
sst2,Qwen/Qwen3-4B,8,3,exhaustive,perm_12,200,0.94,0.93999399939994,146.515,6.469946171971969
sst2,Qwen/Qwen3-4B,8,3,exhaustive,perm_13,200,0.94,0.9399759903961584,146.515,6.465076040651184
sst2,Qwen/Qwen3-4B,8,3,exhaustive,perm_14,200,0.945,0.9449876222149983,146.515,6.471564700972522
sst2,Qwen/Qwen3-4B,8,3,exhaustive,perm_15,200,0.945,0.9449986249656241,146.515,6.38192700673244
sst2,Qwen/Qwen3-4B,8,3,exhaustive,perm_16,200,0.95,0.9499799919967986,146.515,6.416304618265713
sst2,Qwen/Qwen3-4B,8,3,exhaustive,perm_17,200,0.935,0.9349853717086344,146.515,6.39977891734452
sst2,Qwen/Qwen3-4B,8,3,exhaustive,perm_18,200,0.935,0.934998374959374,146.515,6.3783413021301385
sst2,Qwen/Qwen3-4B,8,3,exhaustive,perm_19,200,0.955,0.9549718574108819,146.515,6.4336655449005775
sst2,Qwen/Qwen3-4B,8,3,exhaustive,perm_20,200,0.935,0.934998374959374,146.515,6.475768277741736
sst2,Qwen/Qwen3-4B,8,3,exhaustive,perm_21,200,0.945,0.9449656035021889,146.515,6.330519399343757
sst2,Qwen/Qwen3-4B,8,3,exhaustive,perm_22,200,0.945,0.9449986249656241,146.515,6.3322850498661865
sst2,Qwen/Qwen3-4B,8,3,exhaustive,perm_23,200,0.945,0.9449986249656241,146.515,6.362554134771926
sst2,Qwen/Qwen3-4B,8,3,exhaustive,perm_24,200,0.945,0.9449986249656241,146.515,6.342685661802534
sst2,Qwen/Qwen3-4B,8,3,exhaustive,perm_25,200,0.945,0.9449876222149983,146.515,6.372840848838678
sst2,Qwen/Qwen3-4B,8,3,exhaustive,perm_26,200,0.955,0.9549988749718743,146.515,6.333596700133057
