dataset,total_shots,seed,named_variant_count,named_unique_count,random_variant_count,random_unique_count
mrpc,2,1,8,2,5,1
mrpc,2,2,8,2,5,2
mrpc,2,3,8,2,5,2
mrpc,2,4,8,2,5,2
mrpc,2,5,8,2,5,2
mrpc,4,1,8,7,5,5
mrpc,4,2,8,6,5,4
mrpc,4,3,8,7,5,5
mrpc,4,4,8,5,5,4
mrpc,4,5,8,7,5,5
mrpc,8,1,8,8,5,5
mrpc,8,2,8,8,5,5
mrpc,8,3,8,8,5,5
mrpc,8,4,8,8,5,5
mrpc,8,5,8,8,5,5
rte,2,1,8,2,5,2
rte,2,2,8,2,5,2
rte,2,3,8,2,5,2
rte,2,4,8,2,5,2
rte,2,5,8,2,5,2
rte,4,1,8,6,5,4
rte,4,2,8,8,5,5
rte,4,3,8,6,5,4
rte,4,4,8,8,5,5
rte,4,5,8,6,5,4
rte,8,1,8,8,5,5
rte,8,2,8,8,5,5
rte,8,3,8,8,5,5
rte,8,4,8,8,5,5
rte,8,5,8,8,5,5
sst2,2,1,8,2,5,2
sst2,2,2,8,2,5,2
sst2,2,3,8,2,5,2
sst2,2,4,8,2,5,2
sst2,2,5,8,2,5,2
sst2,4,1,8,8,5,5
sst2,4,2,8,6,5,5
sst2,4,3,8,7,5,5
sst2,4,4,8,7,5,5
sst2,4,5,8,6,5,5
sst2,8,1,8,8,5,5
sst2,8,2,8,8,5,5
sst2,8,3,8,8,5,5
sst2,8,4,8,8,5,5
sst2,8,5,8,8,5,5
