dataset,seed,total_shots,label_grouped_support_example_ids,alternating_support_example_ids,equal
mrpc,1,2,"[413, 2665]","[413, 2665]",True
mrpc,2,2,"[958, 1000]","[958, 1000]",True
mrpc,3,2,"[1241, 2671]","[1241, 2671]",True
mrpc,4,2,"[2195, 421]","[2195, 421]",True
mrpc,5,2,"[2494, 870]","[2494, 870]",True
rte,1,2,"[2217, 2071]","[2217, 2071]",True
rte,2,2,"[228, 1602]","[228, 1602]",True
rte,3,2,"[728, 1988]","[728, 1988]",True
rte,4,2,"[182, 2448]","[182, 2448]",True
rte,5,2,"[2228, 636]","[2228, 636]",True
sst2,1,2,"[40135, 65095]","[40135, 65095]",True
sst2,2,2,"[54806, 53885]","[54806, 53885]",True
sst2,3,2,"[474, 32893]","[474, 32893]",True
sst2,4,2,"[65320, 1388]","[65320, 1388]",True
sst2,5,2,"[12795, 14464]","[12795, 14464]",True
